Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-07-2025 21:04:52,2,0,44,1,4,0,8,0,7.38,47.125,-256,-256,-256,0%,42.687,0%,0,0,62801,2103,44.406,43.468,43.875,31400,0,37,37.75,605,605,1203,1203,2807,2807,3539,3539,47.125
08-07-2025 21:04:53,45,13,21,0,0,0,0,3,10.25,47.312,-256,-256,-256,0%,42.937,6%,0,0,62801,2497,44.281,43.5,43.781,31400,0,37,37.75,605,605,1203,1203,2807,2807,3539,3539,47.312
08-07-2025 21:04:54,0,11,70,0,0,0,0,0,10.12,47.093,-256,-256,-256,0%,42.75,0%,0,0,62801,2881,44.406,43.531,43.812,31400,0,37,38,605,605,1203,1203,2807,2807,3505,3438,47.093
08-07-2025 21:04:55,1,0,30,0,58,0,0,0,11.12,47.218,-256,-256,-256,0%,42.781,0%,0,0,62801,2889,44.281,43.531,43.843,31400,0,37,38,605,605,1203,1203,2807,2807,3463,3336,47.375
08-07-2025 21:04:56,0,0,0,0,90,0,0,0,11.25,47.5,-256,-256,-256,0%,-256,0%,0,0,62801,2899,44.375,43.687,43.843,31400,0,37,37.75,584,504,1203,1203,2726,2406,3417,3235,47.5
08-07-2025 21:04:57,8,62,0,0,24,0,0,0,11.75,47.218,-256,-256,-256,0%,-256,0%,0,0,62801,2906,44.375,43.687,43.937,31400,0,37,38,571,504,1203,1203,2606,2005,3386,3230,47.218
08-07-2025 21:04:58,0,91,0,0,0,0,0,0,11.38,47.218,-256,-256,-256,0%,-256,0%,0,0,62801,2914,44.312,43.687,43.875,31400,0,37,37.75,561,504,1203,1203,2520,2005,3349,3129,47.218
08-07-2025 21:04:59,0,94,0,0,0,0,0,0,11.75,47.281,-256,-256,-256,0%,-256,0%,0,0,62801,2920,44.343,43.468,43.906,31400,0,37,38,554,504,1203,1203,2456,2005,3321,3129,47.375
08-07-2025 21:05:00,3,31,24,0,0,0,0,0,7.25,46.906,-256,-256,-256,0%,42.843,10%,0,0,62801,3024,44.406,43.531,43.812,31400,0,37,38,560,605,1158,802,2495,2807,3346,3539,46.906
08-07-2025 21:05:01,3,0,48,0,0,0,0,0,6.38,47.218,-256,-256,-256,0%,42.687,6%,0,0,62801,3262,44.437,43.562,43.875,31400,0,37,38,564,606,1122,802,2526,2807,3375,3640,47.093
08-07-2025 21:05:02,3,12,38,0,1,0,0,0,6.75,46.968,-256,-256,-256,0%,42.812,9%,0,0,62801,3508,44.406,43.593,43.937,31400,0,37,38,568,606,1093,802,2551,2807,3390,3539,46.968
08-07-2025 21:05:03,2,0,54,0,0,0,0,0,7.0,47.062,-256,-256,-256,0%,42.781,17%,0,0,62801,3771,44.437,43.531,43.843,31400,0,37,38,571,606,1069,802,2573,2807,3402,3539,47.062
08-07-2025 21:05:04,3,0,41,0,0,0,0,0,5.5,47.156,-256,-256,-256,0%,42.75,0%,0,0,62801,3872,44.5,43.687,43.906,31400,0,37,38,574,605,1048,802,2591,2807,3413,3539,46.937
08-07-2025 21:05:05,2,0,23,0,16,0,0,0,5.12,47.25,-256,-256,-256,0%,42.875,0%,0,0,62801,3971,44.437,43.562,43.812,31400,0,37,38,569,504,1031,802,2606,2807,3414,3438,47.531
08-07-2025 21:05:06,9,2,18,0,2,0,5,0,4.5,46.968,-256,-256,-256,0%,42.781,11%,0,0,62801,4042,44.625,43.687,43.937,31400,0,37,37.75,571,606,1015,802,2619,2807,3429,3640,46.968
08-07-2025 21:05:07,4,2,34,0,0,2,0,0,5.25,47.031,-256,-256,-256,0%,42.937,0%,0,0,62801,4131,44.437,43.562,43.812,31400,0,37,38,580,706,1002,802,2631,2807,3436,3539,47.031
08-07-2025 21:05:08,2,4,41,1,0,0,0,0,6.0,47.281,-256,-256,-256,0%,42.875,0%,0,0,62801,4282,44.437,43.593,43.843,31400,0,37,38,587,706,990,802,2641,2807,3442,3539,47.281
08-07-2025 21:05:09,3,8,6,32,0,0,0,0,6.12,47.031,-256,-256,-256,0%,42.812,14%,0,0,62801,4423,44.531,43.593,43.875,31400,0,37,38,588,605,980,802,2651,2807,3448,3539,47.031
08-07-2025 21:05:10,4,0,16,39,1,2,1,15,9.75,47.218,-256,-256,-256,0%,42.718,0%,0,0,62801,4874,44.468,43.843,43.906,31400,0,37,38,594,707,991,1203,2680,3208,3463,3741,47.218
08-07-2025 21:05:11,0,86,0,0,0,0,0,7,11.62,47.375,-256,-256,-256,0%,43,33%,0,0,62801,4953,44.406,43.75,44.031,31400,0,37,38.25,600,706,1002,1203,2726,3610,3477,3741,47.468
08-07-2025 21:05:12,1,90,0,0,0,0,0,0,11.38,47.406,-256,-256,-256,0%,43,98%,0,0,62801,5029,44.406,43.718,43.968,31400,0,37,38,605,706,1012,1203,2768,3608,3489,3741,47.406
08-07-2025 21:05:13,0,92,0,0,0,0,0,0,11.5,47.625,-256,-256,-256,0%,43.312,0%,0,0,62801,5098,44.468,43.687,44,31400,0,37,38,609,706,1020,1203,2807,3610,3496,3640,47.625
08-07-2025 21:05:14,1,88,0,0,0,0,0,0,11.12,47.406,-256,-256,-256,0%,42.937,0%,0,0,62801,5167,44.5,43.593,44.031,31400,0,37,38,614,706,1028,1203,2841,3610,3503,3640,47.406
08-07-2025 21:05:16,0,89,0,0,0,0,0,0,11.12,47.343,-256,-256,-256,0%,43.125,0%,0,0,62801,5255,44.437,43.875,44.062,31400,0,37,38,613,605,1035,1203,2873,3610,3508,3640,47.562
08-07-2025 21:05:17,0,91,0,0,0,0,0,0,11.38,47.468,-256,-256,-256,0%,43.718,93%,0,0,62801,5347,44.75,43.812,44.093,31400,0,37,38.25,621,807,1042,1203,2919,4009,3518,3741,47.468
08-07-2025 21:05:18,1,90,0,0,0,0,0,0,11.38,47.437,-256,-256,-256,0%,42.937,0%,0,0,62801,5474,44.718,43.718,44.125,31400,0,37,38,624,706,1048,1203,2945,3610,3522,3640,47.437
08-07-2025 21:05:19,0,92,0,0,0,0,0,0,11.5,47.343,-256,-256,-256,0%,43.093,0%,0,0,62801,5543,44.718,43.75,44.156,31400,0,37,38,627,706,1054,1203,2970,3610,3527,3640,47.343
08-07-2025 21:05:20,1,89,0,0,0,0,0,0,11.25,47.437,-256,-256,-256,0%,43.031,0%,0,0,62801,5631,44.718,43.781,44.093,31400,0,37,38,626,605,1059,1203,2993,3608,3531,3640,47.437
08-07-2025 21:05:21,0,92,0,0,0,0,0,0,11.5,47.468,-256,-256,-256,0%,43.187,96%,0,0,62801,5717,44.593,43.781,44.156,31400,0,37,38,629,706,1064,1203,3028,4009,3538,3741,47.468
